Date,Location,Stake,Ward/Branch,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,Time Spent,Neighbourhood,Ward,Assessed Value,New Route Number/Name
2023-09-23 10:36,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,3,14,25,0,2,14,25,CLAREVIEW,,837500,Bonnie Doon Stake 1
2023-09-23 10:36,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,18,25,1,2,144,30,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 1
2023-09-23 10:40,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,20,30,0,2,186,30,SILVER BERRY,Sspomitapi Ward,162000,Gateway Stake 2
2023-09-23 10:41,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,20,25,1,1,194,30,CRAWFORD PLAINS,Sspomitapi Ward,140000,Gateway Stake 3
2023-09-23 10:44,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,0,2,5,0,2,1,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 2
2023-09-23 10:48,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20,20,0,2,179,20,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,Gateway Stake 4
2023-09-23 10:50,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,4,17,25,0,2,141,22,LEE RIDGE,Karhiio Ward,28618500,Gateway Stake 5
2023-09-23 10:51,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,32,45,0,2,27,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 3
2023-09-23 10:51,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,100,5,1,2,200,49,LONDONDERRY,,837500,Bonnie Doon Stake 4
2023-09-23 10:52,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,3,15,45,0,2,13,35,SOUTHGATE,,837500,Bonnie Doon Stake 5
2023-09-23 10:53,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,2,30,30,0,2,300,30,CONNORS HILL,,837500,Bonnie Doon Stake 6
2023-09-23 10:55,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,17,60,0,2,110,30.26904762,CLAREVIEW,,837500,Bonnie Doon Stake 7
2023-09-23 10:55,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,3,2,20,40,0,2,107,40,LONDONDERRY,,837500,Bonnie Doon Stake 8
2023-09-23 10:56,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,1,25,55,0,2,20,55,CORONATION PARK,,837500,Bonnie Doon Stake 9
2023-09-23 10:58,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,3,24,45,1,3,250,45,CLAREVIEW,,837500,Bonnie Doon Stake 10
2023-09-23 10:59,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,3,5,10,60,0,2,184,60,CONNORS HILL,,837500,Bonnie Doon Stake 11
2023-09-23 11:01,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,12,30,0,2,12,30.26904762,LONDONDERRY,,837500,Bonnie Doon Stake 12
2023-09-23 11:01,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,30,45,1,2,194,60,LONDONDERRY,,837500,Bonnie Doon Stake 13
2023-09-23 11:03,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,16,25,0,2,98,25,LONDONDERRY,,837500,Bonnie Doon Stake 14
