drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,1,0,1,1,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,15,2,2,20,20,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,15,2,2,20,15,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,45,2,3,144,25,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,1,0,230,21,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,15,2,0,75,7,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,0,280,32,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,3,21,23,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,90,3,3,45,15,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,45,2,4,172,18,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,15,2,0,135,26,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,45,2,4,0,30,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,15,2,0,18,18,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,15,2,1,10,12,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,3,3,36,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,3,4,117,30,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,15,2,1,125,7,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,1,12,20,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,15,2,0,236,16,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,45,3,2,50,8,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
